urn,school_name,la_code,la_name,school_type,phase,address_1,address_2,address_3,town,county,postcode,phone,head_title,head_first_name,head_last_name,website,trust_code,trust_name,pupil_count,headteacher
100015,Hawley Primary School,202,Camden,Community school,Primary,Hawley Road,,,London,,NW1 8RP,2074855020.0,Ms,Sally Hill,/ Ms Natalie Stevenson,http://www.hawley.camden.sch.uk/,,,228.0,Ms Sally Hill / Ms Natalie Stevenson
100018,Netley Primary School,202,Camden,Community school,Primary,74 Stanhope Street,Camden,,London,,NW1 3EX,2037720350.0,Mr,Gareth Morris (Head of School),John Hayes (Executive Head),www.netley.camden.sch.uk/,,,388.0,Mr Gareth Morris (Head of School) John Hayes (Executive Head)
100019,New End Primary School,202,Camden,Community school,Primary,Streatley Place,Hampstead,,London,,NW3 1HU,2074310961.0,Ms,Karyn,Ray,http://www.newend.camden.sch.uk/,,,320.0,Ms Karyn Ray
100020,Primrose Hill School,202,Camden,Community school,Primary,Princess Road,,,London,,NW1 8JL,2077228500.0,Mr,Liam,Frost,www.primrosehill.camden.sch.uk,,,429.0,Mr Liam Frost
100021,Rhyl Community Primary School,202,Camden,Community school,Primary,Rhyl Street,,,London,,NW5 3HB,2074854899.0,Mr,Don,McGibbon,www.rhylprim.camden.sch.uk/,,,392.0,Mr Don McGibbon
100022,Richard Cobden Primary School,202,Camden,Community school,Primary,Camden Street,,,London,,NW1 0LL,2073875909.0,Ms,Ruby,Nasser,http://www.rcobden.camden.sch.uk/,,,379.0,Ms Ruby Nasser
100023,Torriano Primary School,202,Camden,Community school,Primary,Torriano Avenue,Kentish Town,,London,,NW5 2SJ,2074240202.0,Ms,Helen,Bruckdorfer,http://www.torriano.camden.sch.uk/,,,445.0,Ms Helen Bruckdorfer
100025,Gospel Oak Primary School,202,Camden,Community school,Primary,Mansfield Road,,,London,,NW3 2JB,2074857435.0,Mr,John,Hayes,www.gospeloak.camden.sch.uk,,,424.0,Mr John Hayes
100026,Fitzjohn's Primary School,202,Camden,Community school,Primary,86A Fitzjohn's Avenue,,,London,,NW3 6NP,2074359797.0,Mr,Rob,Earrey,http://www.fitzjohns.camden.sch.uk/,,,230.0,Mr Rob Earrey
100027,Eleanor Palmer Primary School,202,Camden,Community school,Primary,Lupton Street,Tufnell Park,,London,,NW5 2JA,2074852155.0,Ms,Sally Hill and,Natalie Stevenson,http://www.eleanorpalmer.camden.sch.uk/,,,237.0,Ms Sally Hill and Natalie Stevenson
100028,"Christ Church Primary School, Hampstead",202,Camden,Voluntary aided school,Primary,Christ Church Hill,,,London,,NW3 1JH,2074351361.0,Mrs,Katy,Forsdyke,http://www.christchurchschool.co.uk/,,,191.0,Mrs Katy Forsdyke
100029,Christ Church School,202,Camden,Voluntary aided school,Primary,Redhill Street,Camden,,London,,NW1 4BD,2073877881.0,Mr,Lee,Duffy,http://www.cchurchnw1.camden.sch.uk,,,173.0,Mr Lee Duffy
100030,Emmanuel Church of England Primary School,202,Camden,Voluntary aided school,Primary,152-158 Mill Lane,West Hampstead,,London,,NW6 1TF,2074317984.0,Mrs,Laura,Hall,http://www.emmanuel.camden.sch.uk/,,,231.0,Mrs Laura Hall
100031,Hampstead Parochial Church of England Primary School,202,Camden,Voluntary aided school,Primary,"Hampstead Parochial School , Holly Bush Vale",Hampstead,,London,,NW3 6TX,2074354135.0,Mrs,Laura,Hall,http://www.hampsteadprim.camden.sch.uk/,,,199.0,Mrs Laura Hall
100032,"Holy Trinity CofE Primary School, NW3",202,Camden,Voluntary aided school,Primary,Trinity Walk,Maresfield Gardens,,London,,NW3 5SQ,2074359089.0,Ms,Keeley,McCleave,www.holytrinitynw3.co.uk,,,171.0,Ms Keeley McCleave
100033,"Holy Trinity and Saint Silas CofE Primary School, NW1",202,Camden,Voluntary aided school,Primary,Hartland Road,,,London,,NW1 8DE,2072670771.0,Mrs,Lorraine,Goll,http://www.holytrinitynw1.camden.sch.uk/,,,204.0,Mrs Lorraine Goll
100034,Kentish Town Church of England Primary School,202,Camden,Voluntary aided school,Primary,Islip Street,,,London,,NW5 2TU,2074851279.0,Mr,Grant,Jacobson,http://www.kentishtown.camden.sch.uk/,,,226.0,Mr Grant Jacobson
100035,Rosary Catholic Primary School,202,Camden,Voluntary aided school,Primary,238 Haverstock Hill,Hampstead,,London,,NW3 2AE,2077946292.0,Miss,Sophie,Kennedy,http://www.rosary.camden.sch.uk/,,,301.0,Miss Sophie Kennedy
100036,St Alban's Church of England Primary School,202,Camden,Voluntary aided school,Primary,Baldwins Gardens,Holborn,,London,,EC1N 7SD,2072428585.0,Miss,Rebecca,Hughes,www.stalbanscamden.co.uk,,,92.0,Miss Rebecca Hughes
100040,St George the Martyr Church of England Primary School,202,Camden,Voluntary aided school,Primary,John's Mews,,,London,,WC1N 2NX,2074055640.0,Mr,Harvey,Webb,http://www.stgeorge.camden.sch.uk/,,,197.0,Mr Harvey Webb
100041,St Josephs Catholic Primary School,202,Camden,Voluntary aided school,Primary,Macklin Street,Covent Garden,,London,,WC2B 5NA,2072427712.0,Ms,Moya,Richardson,http://www.stjosephs.camden.sch.uk,,,148.0,Ms Moya Richardson
100042,St Mary's Kilburn Church of England Primary School,202,Camden,Voluntary aided school,Primary,Quex Road,Kilburn,,London,,NW6 4PG,2073726565.0,Mr,Harvey,Webb,http://www.stmarykilburn.camden.sch.uk/,,,229.0,Mr Harvey Webb
100043,St Mary and St Pancras Church of England Primary School,202,Camden,Voluntary aided school,Primary,81 Werrington Street,,,London,,NW1 1QP,2073876117.0,Ms,Jules,Belton,www.stmp.camden.sch.uk,,,190.0,Ms Jules Belton
100045,St Patrick's Catholic Primary School,202,Camden,Voluntary aided school,Primary,Holmes Road,,,London,,NW5 3AH,2072671200.0,Miss,Chloe,Toop,http://www.stpatricks.camden.sch.uk/,,,121.0,Miss Chloe Toop
100046,St Paul's Church of England Primary School,202,Camden,Voluntary aided school,Primary,Elsworthy Road,Primrose Hill,,London,,NW3 3DS,2077227381.0,Mr,Clive,Hale,http://www.stpauls.camden.sch.uk,,,187.0,Mr Clive Hale
100047,St Eugene de Mazenod Roman Catholic Primary School,202,Camden,Voluntary aided school,Primary,Mazenod Avenue,,,London,,NW6 4LS,2076244837.0,Ms,Rebecca,Smith,http://www.steugene.camden.sch.uk/,,,204.0,Ms Rebecca Smith
100048,Our Lady Roman Catholic Primary School,202,Camden,Voluntary aided school,Primary,Pratt Street,Camden,,London,,NW1 0DP,2074857997.0,Ms,Moya,Richardson,https://www.ourladys.camden.sch.uk/,,,219.0,Ms Moya Richardson
100049,Haverstock School,202,Camden,Community school,Secondary,24 Haverstock Hill,Chalk Farm,,London,,NW3 2BQ,2072670975.0,Ms,Katie,Metselaar,http://www.haverstock.camden.sch.uk/,,,909.0,Ms Katie Metselaar
100050,Parliament Hill School,202,Camden,Community school,Secondary,Highgate Road,,,London,,NW5 1RL,2074857077.0,Ms,Sarah,Creasey,http://www.parliamenthill.camden.sch.uk/,,,1229.0,Ms Sarah Creasey
100051,Regent High School,202,Camden,Community school,Secondary,Chalton Street,Camden,,London,,NW1 1RX,2073870126.0,Mr,Gary,Moore,http://www.regenthighschool.org.uk/,,,1086.0,Mr Gary Moore
100052,Hampstead School,202,Camden,Community school,Secondary,Westbere Road,Hampstead,,London,,NW2 3RT,2077948133.0,Mr,Matthew,Sadler,http://www.hampsteadschool.org.uk/,,,1228.0,Mr Matthew Sadler
100053,Acland Burghley School,202,Camden,Community school,Secondary,Burghley Road,,,London,,NW5 1UJ,2074858515.0,Mr,Nicholas,John,http://www.aclandburghley.camden.sch.uk/,,,1218.0,Mr Nicholas John
100054,The Camden School for Girls,202,Camden,Voluntary aided school,Secondary,Sandall Road,,,London,,NW5 2DB,2074853414.0,Mrs,Kateryna,Law,http://www.camdengirls.camden.sch.uk,,,1076.0,Mrs Kateryna Law
100055,Maria Fidelis Catholic School FCJ,202,Camden,Voluntary aided school,Secondary,1 - 39 Drummond Crescent,,,London,,NW1 1LY,2073873856.0,Mr,Mark,Anthony,http://www.mariafidelis.camden.sch.uk/,,,812.0,Mr Mark Anthony
100056,William Ellis School,202,Camden,Voluntary aided school,Secondary,Highgate Road,,,London,,NW5 1RN,2072679346.0,Ms,Izzy,Jones,http://www.williamellis.camden.sch.uk/,,,817.0,Ms Izzy Jones
100059,La Sainte Union Catholic Secondary School,202,Camden,Voluntary aided school,Secondary,Highgate Road,,,London,,NW5 1RP,2074284600.0,Mrs,Sophie,Fegan,http://www.lasainteunion.org.uk/,,,586.0,Mrs Sophie Fegan
100060,Children's Hospital School at Gt Ormond Street and UCH,202,Camden,Foundation special school,Not applicable,Great Ormond Street,Camden,,London,,WC1N 3JH,2078138269.0,Ms,Neela,Moorghen,https://www.goshschool.org/,,,0.0,Ms Neela Moorghen
100061,St Christopher's School,202,Camden,Other independent school,Not applicable,32 Belsize Lane,,,London,,NW3 5AE,2074351521.0,Mr,Mark,Maddocks,www.stchristophers.london,,,255.0,Mr Mark Maddocks
100062,St Margaret's School,202,Camden,Other independent school,Not applicable,18 Kidderpore Gardens,,,London,,NW3 7SR,2074352439.0,Mrs,Sharron,Shackell,http://www.st-margarets.co.uk/,,,163.0,Mrs Sharron Shackell
100063,Sarum Hall School,202,Camden,Other independent school,Not applicable,15 Eton Avenue,,,London,,NW3 3EL,2077942261.0,Miss,Karen,Coles,https://www.sarumhallschool.co.uk/,,,186.0,Miss Karen Coles
100064,The Hall School,202,Camden,Other independent school,Not applicable,23 Crossfield Road,Hampstead,,London,,NW3 4NU,2077221700.0,Dr,Willem,Steyn,www.hallschool.co.uk,,,474.0,Dr Willem Steyn
100065,University College School,202,Camden,Other independent school,Not applicable,Frognal,Hampstead,,London,,NW3 6XH,2074352215.0,Mr,Mark,Beard,http://www.ucs.org.uk/,,,1305.0,Mr Mark Beard
100066,The Cavendish School,202,Camden,Other independent school,Not applicable,31 Inverness Street,,,London,,NW1 7HB,2074851958.0,Mrs,Taryn,Lombard,http://www.cavendish-school.co.uk/,,,187.0,Mrs Taryn Lombard
100067,"St Mary's School, Hampstead",202,Camden,Other independent school,Not applicable,47 Fitzjohn's Avenue,London,,,,NW3 6PG,2074351868.0,Miss,Charlotte,Owen,http://www.stmh.co.uk/,,,207.0,Miss Charlotte Owen
100068,North Bridge House Nursery & Pre-Prep Schools,202,Camden,Other independent school,Not applicable,8 Netherhall Gardens,,,London,,NW3 5RR,2072676266.0,Mrs,Sarah,Cartwright-Styles,www.northbridgehouse.com,,,198.0,Mrs Sarah Cartwright-Styles
100069,Hereward House School,202,Camden,Other independent school,Not applicable,14 Strathray Gardens,,,London,,NW3 4NY,2077944820.0,Mr,Pascal,Evans,,,,162.0,Mr Pascal Evans
100070,St Anthony's School for Boys,202,Camden,Other independent school,Not applicable,90 Fitzjohn's Avenue,London,,,,NW3 6NP,2074353597.0,Mr,Richard,Berlie,www.stanthonysprep.org.uk,,,266.0,Mr Richard Berlie
100073,Hampstead Hill School,202,Camden,Other independent school,Not applicable,St Stephen's,Pond Street,Hampstead,London,,NW3 2PP,2074356262.0,Mrs,A,Taylor,www.hampsteadhillschool.co.uk,,,373.0,Mrs A Taylor
100074,North Bridge House Senior School,202,Camden,Other independent school,Not applicable,65 Rosslyn Hill,Hampstead,,,,NW3 5UD,2072676266.0,Mr,Christopher,Jones,,,,437.0,Mr Christopher Jones
100075,Trevor-Roberts School,202,Camden,Other independent school,Not applicable,55-57 Eton Avenue,,,London,,NW3 3ET,2075861444.0,Mr,Simon,Trevor-Roberts,,,,163.0,Mr Simon Trevor-Roberts
100076,South Hampstead High School GDST,202,Camden,Other independent school,Not applicable,3 Maresfield Gardens,,,London,,NW3 5SS,2074352899.0,Mrs,Anna,Paul,http://www.shhs.gdst.net/,,,954.0,Mrs Anna Paul
100078,Heathside Preparatory School,202,Camden,Other independent school,Not applicable,84A Heath Street,Hampstead,London,London,,NW3 1DN,2030584011.0,Mrs,Sara,Williams-Ryan,www.heathsideschoolhampstead.com,,,105.0,Mrs Sara Williams-Ryan
100080,Devonshire House Preparatory School,202,Camden,Other independent school,Not applicable,2,Arkwright road,Hampstead,London,,NW3 6AE,2074351916.0,Mr,Henry,Keighley-Elstub,http://www.devonshirehouseschool.co.uk/,,,471.0,Mr Henry Keighley-Elstub
100081,Broadhurst School,202,Camden,Other independent school,Not applicable,19 Greencroft Gardens,,,London,,NW6 3LP,2073284280.0,Mrs,Eilish,Sleator,www.broadhurstschool.com,,,102.0,Mrs Eilish Sleator
100082,College Francais Bilingue De Londres,202,Camden,Other independent school,Not applicable,87 Holmes Road,,Kentish Town,London,,NW5 3AX,2079937400.0,Mr,David,Gassian,www.cfbl.org.uk,,,698.0,Mr David Gassian
100084,Fine Arts College,202,Camden,Other independent school,Not applicable,Centre Studios,41-43 Englands Lane,Belsize Park,London,,NW3 4YD,2075860312.0,Ms,Candida,Cave,www.hampsteadfinearts.com,,,209.0,Ms Candida Cave
100087,The Mulberry House School,202,Camden,Other independent school,Not applicable,7 Minster Road,,,London,,NW2 3SD,2084527340.0,Miss,Erika,Billmore,www.mulberryhouseschool.com,,,190.0,Miss Erika Billmore
100090,Southbank International School Hampstead,202,Camden,Other independent school,Not applicable,16 Netherhall Gardens,,,London,,NW3 5TH,2074311200.0,Mr,Stuart,Bain,http://www.southbank.org/,,,165.0,Mr Stuart Bain
100091,Frank Barnes School for Deaf Children,202,Camden,Community special school,Not applicable,4 Wollstonecraft Street,Kings Cross,,London,,N1C 4BT,2073917040.0,Mr,Dani,Sive,www.fbarnes.camden.sch.uk,,,35.0,Mr Dani Sive
100092,Harmood School,202,Camden,Community special school,Not applicable,Harmood Street,Camden,,London,,NW1 8DP,2079743953.0,Ms,Debbie,Man,http://harmood.h3federation.org.uk/,,,39.0,Ms Debbie Man
100094,Royal Free Hospital Children's School,202,Camden,Community special school,Not applicable,Floor 6 - 6 West B,Pond Street,,London,,NW3 2QG,2038384740.0,Mr,David,Wilson,http://www.royalfree.camden.sch.uk/,,,76.0,Mr David Wilson
100096,Swiss Cottage School - Development & Research Centre,202,Camden,Community special school,Not applicable,80 Avenue Road,,,London,,NW8 6HX,2076818080.0,Ms,Syra,Sowe,www.swisscottage.camden.sch.uk,,,260.0,Ms Syra Sowe
100097,Rachel McMillan Nursery School and Children's Centre,203,Greenwich,Local authority nursery school,Nursery,McMillan Street,Deptford,,London,,SE8 3EH,2086924041.0,Ms,Rachel,Hogarth-Smith,www.rachelmcmillannursery.co.uk,,,140.0,Ms Rachel Hogarth-Smith
100098,Pound Park Nursery School,203,Greenwich,Local authority nursery school,Nursery,Pound Park Road,Charlton,,London,,SE7 8AF,2088581791.0,Mrs,Solin,Flash,http://www.poundparknursery.co.uk/,,,146.0,Mrs Solin Flash
100099,Abbey Wood Nursery School,203,Greenwich,Local authority nursery school,Nursery,Dahlia Road,,Abbey Wood,London,,SE2 0SX,2083110619.0,Mrs,Gillian,Crowley,http://abbeywoodnurseryschool.co.uk/,,,120.0,Mrs Gillian Crowley
100102,Robert Owen Nursery School,203,Greenwich,Local authority nursery school,Nursery,43 Commerell Street,Greenwich,,London,,SE10 0EA,2088580529.0,Miss,Jo,Graham,www.robertowenearlyyears.org.uk,,,176.0,Miss Jo Graham
100103,Newhaven Pupil Referral Unit,203,Greenwich,Pupil referral unit,Not applicable,Newhaven Gardens,Eltham,Greenwich,London,,SE9 6HR,2088593114.0,Mr,Jon,Kelly,www.newhavenschool.co.uk,,,191.0,Mr Jon Kelly
100114,Morden Mount Primary School,203,Greenwich,Community school,Primary,Lewisham Road,,,London,,SE13 7QP,2086922920.0,Mr,Stephen,Harris,www.mordenmount.greenwich.sch.uk/,,,394.0,Mr Stephen Harris
100115,Cherry Orchard Primary School,203,Greenwich,Community school,Primary,Rectory Field Crescent,Marlborough Lane,,London,,SE7 7DG,2088566766.0,Mrs,Maria,Hill,www.cherryorchardschool.org.uk,,,180.0,Mrs Maria Hill
100120,Ealdham Primary School,203,Greenwich,Community school,Primary,Ealdham Square,Eltham,,London,,SE9 6BP,2088505484.0,Mr,C,York,www.ealdhamprimary.org.uk,,,437.0,Mr C York
100125,Fossdene Primary School,203,Greenwich,Community school,Primary,Victoria Way,Charlton,,London,,SE7 7NQ,2088585585.0,Mrs,Maria,Hill,http://www.fossdene.greenwich.sch.uk,,,210.0,Mrs Maria Hill
100127,Gordon Primary School,203,Greenwich,Community school,Primary,Grangehill Road,Eltham,,London,,SE9 1QG,2088505486.0,Mr,Jason,Taylor,www.gordonprimary.co.uk,,,430.0,Mr Jason Taylor
100129,Haimo Primary School,203,Greenwich,Community school,Primary,Haimo Road,Eltham,,London,,SE9 6DY,2088504911.0,Ms,Kathleen,Barnes,http://www.haimoprimaryschool.co.uk,,,374.0,Ms Kathleen Barnes
100131,Henwick Primary School,203,Greenwich,Community school,Primary,Henwick Road,Eltham,,London,,SE9 6NZ,2088568627.0,Mrs,Lisa,Lazell,http://www.henwickprimary.co.uk,,,352.0,Mrs Lisa Lazell
100134,Invicta Primary School,203,Greenwich,Community school,Primary,Invicta Road,Greenwich,,London,,SE3 7HE,2088583831.0,Mrs,Jodie,Cawte,www.invictaprimaryschool.org.uk/,,,762.0,Mrs Jodie Cawte
100137,Meridian Primary School,203,Greenwich,Community school,Primary,Old Woolwich Road,Greenwich,,London,,SE10 9NY,2088583572.0,Ms,Jo,Graham,www.meridian.greenwich.sch.uk,,,222.0,Ms Jo Graham
100140,Plumcroft Primary School,203,Greenwich,Community school,Primary,Plum Lane,Plumstead,Plumcroft Primary School,London,,SE18 3HW,2088541308.0,Mr,Richard,Slade,www.plumcroftprimary.co.uk,,,1019.0,Mr Richard Slade
100141,Sherington Primary School,203,Greenwich,Community school,Primary,Wyndcliff Road,Charlton,Wyndcliff Road,London,,SE7 7JP,2088585497.0,Mrs,Hannah,Freeman,www.sheringtonprimary.co.uk,,,435.0,Mrs Hannah Freeman
100142,Thorntree Primary School,203,Greenwich,Community school,Primary,Thorntree Road,Charlton,,London,,SE7 8AE,2088580268.0,Ms,Ann Marie,Walker,www.thorntree.greenwich.sch.uk/,,,191.0,Ms Ann Marie Walker
100146,Wyborne Primary School,203,Greenwich,Community school,Primary,Footscray Road,New Eltham,,London,,SE9 2EH,2088504933.0,Mr,James,Searjeant,www.wyborne.greenwich.sch.uk/,,,431.0,Mr James Searjeant
100149,Montbelle Primary School,203,Greenwich,Community school,Primary,Milverton Way,Eltham,,London,,SE9 3EY,2088573909.0,Mrs,E,Geden,www.montbelle.org.uk/,,,400.0,Mrs E Geden
100152,De Lucy Primary School,203,Greenwich,Community school,Primary,Cookhill Road,Abbey Wood,,London,,SE2 9PD,2083105290.0,Mrs,Kerry,Lodge,www.delucyprimaryschool.co.uk/,,,288.0,Mrs Kerry Lodge
100155,Cardwell Primary School,203,Greenwich,Community school,Primary,118 Frances Street,Woolwich,,London,,SE18 5LP,2088541051.0,Mrs,Lisa,Lazell,www.cardwellschool.co.uk,,,437.0,Mrs Lisa Lazell
100158,Heronsgate Primary School,203,Greenwich,Community school,Primary,Whinchat Road,,,London,,SE28 0EA,2083170809.0,Mr,Stephen,Harris,www.heronsgate.greenwich.sch.uk,,,748.0,Mr Stephen Harris
100159,Linton Mead Primary School,203,Greenwich,Community school,Primary,Central Way,Thamesmead,,London,,SE28 8DT,2083101902.0,Miss,Sarah,Critchell,www.lintonmead.org.uk,,,315.0,Miss Sarah Critchell
100162,Greenslade Primary School,203,Greenwich,Community school,Primary,Erindale,Plumstead Common,,London,,SE18 2QQ,2083166847.0,Mr,David,Ashley,www.greensladeprimary.org.uk/,,,201.0,Mr David Ashley
100163,Mulgrave Primary School,203,Greenwich,Community school,Primary,Rectory Place,Woolwich,,London,,SE18 5DL,2083179211.0,Mrs,Amanda,Weaver,www.mulgraveprimary.org.uk,,,351.0,Mrs Amanda Weaver
100164,Charlton Manor Primary School,203,Greenwich,Community school,Primary,Indus Road,,Charlton,London,,SE7 7EF,2088566525.0,Mrs,Amy,Goold,www.charltonmanorprimary.co.uk/,,,428.0,Mrs Amy Goold
100165,Christ Church Church of England Primary School,203,Greenwich,Voluntary aided school,Primary,45 Commerell Street,Greenwich,,London,,SE10 0DZ,2088583974.0,,Victoria Wainwright,Claire Harrison,www.koinoniafederation.com,,,154.0,Victoria Wainwright Claire Harrison
100166,"Christ Church Church of England Primary School, Shooters Hill",203,Greenwich,Voluntary aided school,Primary,Shooters Hill,,,London,,SE18 3RS,2088564513.0,Mrs,Anne-Marie,Bahlol,www.ccshprimary.org.uk,,,208.0,Mrs Anne-Marie Bahlol
100167,Eltham Church of England Primary School,203,Greenwich,Voluntary aided school,Primary,Roper Street,Eltham,,London,,SE9 1TR,2088501528.0,Ms,Maryanne,Boon,http://www.elthamcoeschool.co.uk/,,,446.0,Ms Maryanne Boon
100168,Our Lady of Grace Catholic Primary School,203,Greenwich,Voluntary aided school,Primary,16 Highcombe,Charlton,,London,,SE7 7HR,2088582262.0,Mr,Sean,Small,www.ourladyofgracecatholicprimaryschool.co.uk,,,417.0,Mr Sean Small
100169,St Joseph's Catholic Primary School,203,Greenwich,Voluntary aided school,Primary,Commerell Street,Greenwich,,London,,SE10 9AN,2088584182.0,Mrs,Suzanne,Long,www.stjosephs.greenwich.sch.uk/,,,136.0,Mrs Suzanne Long
100170,St Margaret's Church of England Primary School,203,Greenwich,Voluntary aided school,Primary,St Margaret's Grove,Plumstead,,London,,SE18 7RL,2088543924.0,Ms,Anna,Sullivan,http://www.stmargaretce.greenwich.sch.uk,,,215.0,Ms Anna Sullivan
100171,Saint Mary Magdalene Church of England All Through School,203,Greenwich,Voluntary aided school,All-through,Kingsman Street,,,London,,SE18 5PW,2088543531.0,Co Headteacher,Claire Harrison /,Victoria Wainwright,www.koinoniafederation.com,,,1667.0,Co Headteacher Claire Harrison / Victoria Wainwright
100173,St Patrick's Catholic Primary School,203,Greenwich,Voluntary aided school,Primary,"St Patrick's Catholic Primary School,Griffin Road",Plumstead,,London,,SE18 7QG,2088543881.0,Ms,M,Murphy,http://www.lgfl.net/lgfl/leas/greenwich/schools/stpatricks/,,,336.0,Ms M Murphy
100174,St Alfege with St Peter's Church of England Primary School,203,Greenwich,Voluntary aided school,Primary,Creek Road,Greenwich,,London,,SE10 9RB,2088583613.0,Mrs,Amanda,Wilson,http://www.stalfegeschool.org.uk,,,203.0,Mrs Amanda Wilson
100175,St Peter's Catholic Primary School,203,Greenwich,Voluntary aided school,Primary,Crescent Road,,,London,,SE18 7BN,2082650028.0,Ms,Marna,Du Bruyn,www.stpeters.greenwich.sch.uk,,,205.0,Ms Marna Du Bruyn
100176,St Thomas More Catholic Primary School,203,Greenwich,Voluntary aided school,Primary,Appleton Road,Eltham,,London,,SE9 6NS,2088569153.0,Mrs,L,Collins,www.stmprimary.org,,,198.0,Mrs L Collins
100177,St Thomas A Becket Roman Catholic Primary School,203,Greenwich,Voluntary aided school,Primary,Mottisfont Road,Abbey Wood,,London,,SE2 9LY,2083105394.0,Mrs,Joanne,Cooper,www.stthomasabecketsch.org.uk/,,,402.0,Mrs Joanne Cooper
100180,St Margaret Clitherow Catholic Primary School,203,Greenwich,Voluntary aided school,Primary,Cole Close,Thamesmead,,London,,SE28 8GB,2083101699.0,Ms,Dawn,Webb,http://www.lgfl.net/lgfl/leas/greenwich/schools/stmargaretclitherow/,,,183.0,Ms Dawn Webb
100181,Bishop John Robinson Church of England Primary School,203,Greenwich,Voluntary aided school,Primary,Hoveton Road,Thamesmead,,London,,SE28 8LW,2083109160.0,Ms,Sarah,Biney,www.bishopjohnrobinsonprimary.co.uk/,,,227.0,Ms Sarah Biney
100182,Eltham Hill School,203,Greenwich,Community school,Secondary,Eltham Hill,,,London,,SE9 5EE,2088592843.0,Ms,Erika,Podmore,http://elthamhill.com,,,1304.0,Ms Erika Podmore
100183,Plumstead Manor School,203,Greenwich,Community school,Secondary,Old Mill Road,,,London,,SE18 1QF,2032603333.0,Mr,Douglas,Greig,http://www.plumsteadmanor.com,,,1454.0,Mr Douglas Greig
100190,Thomas Tallis School,203,Greenwich,Community school,Secondary,Kidbrooke Park Road,,,London,,SE3 9PX,2088560115.0,Mr,Steve,Parsons,www.thomastallisschool.com,,,2066.0,Mr Steve Parsons
100193,St Ursula's Convent School,203,Greenwich,Voluntary aided school,Secondary,Crooms Hill,Greenwich,,London,,SE10 8HN,2088584613.0,Mr,Mark,O'Shaughnessy,www.stursulas.com,,,549.0,Mr Mark O'Shaughnessy
100198,The Pointer School,203,Greenwich,Other independent school,Not applicable,19 Stratheden Road,Blackheath,,London,,SE3 7TH,2082931331.0,Mrs,Charlotte,Crookes,http://pointers.school,,,347.0,Mrs Charlotte Crookes
